celltype,top10_threshold,top_spots
B cell,0.10042571163060196,170
DC,0.08026759603040391,170
Fibroblast,0.10557118557345173,170
ILC,0.04282540416185508,170
Keratinocytes,0.3522442896993605,170
Lymphatic endothelium,0.07081139937577964,170
Macrophage,0.06677166857597844,170
Mast cell,0.13531930735003495,170
Melanocyte,0.10337154381481686,170
Mural cell,0.05381031119218541,170
Schwann cell,0.25038099812641207,170
T cell,0.04205718033086609,170
Vascular endothelium,0.06317868506473405,170
