X,B cell,DC,Fibroblast,ILC,Keratinocytes,Lymphatic endothelium,Macrophage,Mast cell,Melanocyte,Mural cell,Schwann cell,T cell,Vascular endothelium
41x40,0.17767642,0.06798889,0.08666656,0.04055774,0.29594684,0.079196185,0.05892889,0.14320727,0.12577891,0.1078821,0.29533818,0.03447574,0.061151076
18x42,0.16899227,0.07917762,0.2638042,0.073471345,0.55074936,0.06797243,0.07027952,0.20585857,0.13155252,0.10169096,0.4172728,0.054268785,0.07002459
45x32,0.11436653,0.047592647,0.23595934,0.041994266,0.31742537,0.051174574,0.06550553,0.12701245,0.10682418,0.03240995,0.34522194,0.041342773,0.032525968
39x5,0.16934183,0.10723386,0.60479903,0.07953261,0.59459424,0.24481645,0.20453411,0.41569155,0.23513658,0.11862177,0.98786676,0.08390366,0.2243212
39x41,0.10209563,0.04002169,0.1083887,0.025427867,0.15926607,0.023291377,0.048092213,0.088584796,0.2026995,0.032578867,0.15223047,0.030346716,0.05834983
11x18,0.029494004,0.03875824,0.04408028,0.028619168,0.16962714,0.030217793,0.030403117,0.0695243,0.03258452,0.020110818,0.12055592,0.02554365,0.22233799
23x19,0.07470398,0.0790888,0.09161654,0.048643697,0.47597867,0.0587102,0.03858587,0.124618396,0.19262162,0.037733868,0.30897585,0.04270668,0.070017606
28x19,0.5011188,0.3256264,0.43831363,0.19573127,1.2535634,0.48023012,0.26566443,0.53094286,0.26488134,0.25909987,1.3318791,0.19575287,0.1492899
23x44,0.032845438,0.030890696,0.03782526,0.0199585,0.39798337,0.06484899,0.039913446,0.097908564,0.04010676,0.027823294,0.2628721,0.022070412,0.1762362
50x36,0.37743458,0.7470586,0.84782505,0.16548094,2.8522427,0.42430052,0.2558976,0.74179715,0.4510866,0.29003686,1.2501587,0.20421498,0.47394407
20x7,0.28632718,0.06657453,0.13235867,0.037313078,0.56496394,0.0630315,0.17366083,0.14953977,0.12206977,0.042911287,0.28675893,0.04320218,0.04416847
25x23,0.1318055,0.2456571,0.29716092,0.07422157,0.6195077,0.07803064,0.13658497,0.31077218,0.15389523,0.11948622,0.50617254,0.06495476,0.050306916
37x21,0.22094165,0.13444236,0.5861266,0.09608487,0.77680916,0.10284764,0.06984589,0.26959535,0.40064907,0.08584804,0.30625695,0.09088913,0.38232222
9x38,0.061792012,0.07348785,0.08621248,0.026907071,0.5042631,0.066279955,0.0523589,0.10568789,0.13624421,0.029835695,0.16344601,0.028473176,0.025210451
40x5,0.1390322,0.2570309,0.22831379,0.15428455,1.1449267,0.17045663,0.2207211,0.27099916,0.24376288,0.13865227,0.38635463,0.15954065,0.28804696
39x38,0.42673212,0.4490529,0.39892352,0.3748162,1.4103404,0.27013516,0.18080829,0.462324,0.6417712,0.3441797,1.4168464,0.2937612,0.4863335
18x28,0.1667237,0.12175203,0.08527365,0.070949316,0.7293889,0.1252019,0.13144836,0.20808397,0.22217509,0.052407153,0.45217806,0.054667164,0.05116406
23x14,0.11084476,0.034953423,0.31168792,0.071247645,0.35662097,0.084052235,0.04220627,0.21606264,0.12183579,0.1394566,0.8641895,0.10030002,0.13334261
9x31,0.05752192,0.20429926,0.28412506,0.041620664,0.5499543,0.048694074,0.052618757,0.18732107,0.11491705,0.05551972,0.2837117,0.03343227,0.046156544
7x16,0.07407063,0.033537373,0.011912699,0.011820641,0.08647416,0.014976295,0.016648294,0.1049119,0.040629204,0.010114544,0.08531847,0.016249591,0.036447596
27x44,0.08096893,0.067495994,0.22035024,0.057560556,0.5221059,0.16224474,0.10602041,0.19209109,0.058863234,0.07623274,0.38471353,0.058193535,0.061420906
9x17,0.042185254,0.042469554,0.08815634,0.024988836,0.17017111,0.029375011,0.030687144,0.103517905,0.13029489,0.02459449,0.17980556,0.02301288,0.018406708
37x4,0.084654845,0.046567436,0.08283816,0.028632192,0.28901416,0.06064389,0.03370127,0.13803959,0.12367483,0.0459945,0.19190383,0.025683723,0.03259921
32x39,0.057147454,0.022732627,0.13514355,0.03020681,0.3292297,0.022145681,0.025055395,0.13853079,0.03251952,0.045127172,0.108339265,0.025871346,0.013439493
42x23,0.016926311,0.011961299,0.061015397,0.014352419,0.1311309,0.012680549,0.10292952,0.055815555,0.08831462,0.018333398,0.09789786,0.013803707,0.0063577807
37x12,0.10844579,0.1102547,0.12652022,0.08152441,0.7088987,0.13234468,0.08481007,0.21516375,0.10916746,0.039764,0.19315706,0.057678215,0.10955229
17x44,0.18065237,0.057786454,0.08885347,0.067737564,0.6569706,0.15722704,0.07252744,0.28134924,0.23314916,0.08002392,0.6392653,0.07186421,0.08107169
49x34,0.14202696,0.15826768,0.17155674,0.07684186,1.1847198,0.120303676,0.13329612,0.26143056,0.15664534,0.08515878,0.4515482,0.08492019,0.046627935
4x18,0.03374314,0.067498036,0.07793751,0.024263328,0.18400057,0.09743137,0.021829572,0.11458766,0.053199444,0.04835779,0.22615021,0.030483153,0.016168183
20x48,0.24603881,0.086899385,0.07650404,0.052825525,0.5474824,0.090223745,0.18278459,0.3529562,0.06295624,0.06248067,0.22003584,0.05475667,0.026036574
14x34,0.15768962,0.10281314,0.23193876,0.05692534,0.5863035,0.05371497,0.11790727,0.1956979,0.19151236,0.065128945,0.31440455,0.07269795,0.10607137
25x13,0.123073086,0.12613605,0.18728405,0.16204026,0.85346663,0.08845804,0.13916157,0.31368214,0.12020899,0.19156411,1.014961,0.12023409,0.13338147
16x43,0.18510014,0.036220524,0.27563688,0.03263639,0.1554345,0.035429634,0.033405907,0.12661673,0.05836182,0.060860213,0.33611336,0.0612673,0.025925767
49x9,0.55052006,0.19449817,0.27207205,0.12860055,1.3944657,0.17085306,0.1739286,0.4264205,0.18676916,0.12453473,1.0165378,0.19931917,0.22574721
19x13,0.20871054,0.12732771,0.19254503,0.087344445,0.9911791,0.095465444,0.3512664,0.4664461,0.23029451,0.05745804,0.87135994,0.09366894,0.11643565
45x1,0.35692725,0.238386,0.22205144,0.1472203,0.57031167,0.17837945,0.14792027,0.77920836,0.24181974,0.11524732,0.9553624,0.28931597,0.25304765
33x7,0.17346542,0.071592085,0.06081762,0.081656314,0.3889181,0.059845302,0.07927467,0.17920026,0.07063294,0.039862216,0.30042306,0.08222742,0.049892463
25x20,0.13706502,0.04535137,0.18558578,0.06476069,0.36950213,0.14316308,0.069223076,0.1608331,0.1566851,0.20341392,0.45497638,0.0698666,0.04985241
18x47,0.09549105,0.19739754,0.24915937,0.06924442,1.0032334,0.16138826,0.15154196,0.31780592,0.19780901,0.09407312,0.5997666,0.07914141,0.13665502
