gene,detected_spots
E2F6,30
RN7SL674P,0
GREB1,10
NTSR2,4
LPIN1,441
TRIB2,68
FAM84A,29
NBAS,22
DDX1,110
MYCNOS,1
AC104623.2,0
FAM49A,11
VSNL1,18
SMC6,1
GEN1,44
MSGN1,1
KCNS3,1
RDH14,44
NT5C1B,0
LINC00954,1
TTC32,3
WDR35,19
LAPTM4A,114
SDC1,462
PUM2,10
RHOB,6
HS1BP3,15
APOB,2
KLHL29,30
ATAD2B,12
UBXN2A,5
MFSD2B,9
C2orf44,39
FKBP1B,4
SF3B14,18
FAM228B,4
ITSN2,42
NCOA1,25
PTRHD1,7
CENPO,3
ADCY3,16
DNAJC27,38
DNAJC27.AS1,2
EFR3B,2
RP11.509E16.1,8
RP11.458N5.1,2
DNMT3A,62
DTNB,19
ASXL2,5
KIF3C,16
RAB10,48
GAREML,1
HADHA,265
HADHB,271
GPR113,2
EPT1,23
OTOF,6
KCNK3,2
SLC35F6,2
CENPA,3
DPYSL5,4
AC013472.4,2
MAPRE3,12
TMEM214,96
AGBL5.IT1,1
RP11.195B17.1,1
AGBL5,46
OST4,84
EMILIN1,1
KHK,3
CGREF1,21
PREB,61
SLC5A6,20
ATRAID,129
CAD,64
SLC30A3,35
TRIM54,0
UCN,5
MPV17,14
GTF3C2,125
AC074117.10,2
EIF2B4,39
SNX17,121
PPM1G,90
NRBP1,95
KRTCAP3,4
IFT172,137
FNDC4,4
GCKR,15
ZNF512,45
GPN1,13
SUPT7L,6
SLC4A1AP,15
RBKS,1
MRPL33,122
BRE,5
FOSL2,74
PPP1CB,106
TRMT61B,39
WDR43,11
FAM179A,0
CLIP4,45
ALK,2
AC016907.3,1
YPEL5,108
LBH,33
CAPN13,22
GALNT14,1
CAPN14,0
EHD3,21
XDH,38
CTC.336P14.1,1
DPY30,68
SPAST,2
RP11.563N4.1,4
YIPF4,17
BIRC6,82
TTC27,4
LTBP1,5
RASGRP3,1
FAM98A,55
AC009499.1,1
RP11.490M8.1,10
CRIM1,44
FEZ2,16
VIT,1
STRN,5
HEATR5B,31
GPATCH11,6
EIF2AK2,74
AC007390.5,20
CEBPZ,28
NDUFAF7,8
PRKD3,11
QPCT,1
CDC42EP3,1
CYP1B1,6
CYP1B1.AS1,1
AC009229.6,1
ATL2,65
HNRNPLL,57
SRSF7,143
DHX57,11
MORN2,2
ARHGEF33,1
SOS1,21
CDKL4,1
MAP4K3,41
AC007246.3,37
TMEM178A,20
THUMPD2,125
SLC8A1,8
PKDCC,2
EML4,136
COX7A2L,43
MTA3,105
HAAO,15
ZFP36L2,205
AC010883.5,5
THADA,4
PLEKHH2,10
DYNC2LI1,17
ABCG8,1
LRPPRC,99
PPM1B,69
PREPL,36
CAMKMT,3
SRBD1,6
PRKCE,74
EPAS1,183
ATP6V1E2,8
RHOQ,25
CRIPT,40
SOCS5,3
RP11.333I13.1,2
AC016722.1,2
MCFD2,21
AC073283.7,4
TTC7A,26
CALM2,181
BCYRN1,51
EPCAM,2
MSH2,60
KCNK12,5
MSH6,22
FBXO11,100
AC079807.2,4
AC079807.4,1
FOXN2,45
PPP1R21,6
STON1,5
NRXN1,9
AC007682.1,2
CHAC2,28
ERLEC1,15
GPR75.ASB3,17
MIR3682,0
PSME4,180
ACYP2,19
SPTBN1,314
EML6,1
RTN4,543
CLHC1,8
RPS27A,584
MTIF2,16
CCDC88A,51
AC012358.8,24
CCDC104,5
SMEK2,33
PNPT1,39
EFEMP1,7
AC007743.1,1
VRK2,2
FANCL,11
BCL11A,16
PAPOLG,2
REL,2
PUS10,34
PEX13,10
AC016747.3,0
AHSA2,192
USP34,63
RP11.355B11.2,1
XPO1,116
FAM161A,1
CCT4,52
COMMD1,18
B3GNT2,1
EHBP1,7
AC009501.4,7
OTX1,1
WDPCP,1
MDH1,198
UGP2,122
VPS54,52
PELI1,6
LGALSL,37
AFTPH,121
SERTAD2,81
SLC1A4,20
CEP68,10
RAB1A,65
ACTR2,60
MEIS1.AS1,28
MEIS1,4
ETAA1,0
C1D,2
WDR92,8
PNO1,3
PPP3R1,43
CNRIP1,13
PLEK,2
FBXO48,5
ANTXR1,17
GFPT1,4
NFU1,7
RP11.427H3.3,2
AAK1,25
ENSG00000238708,3
ANXA4,9
GMCL1,4
SNRNP27,4
MXD1,29
ASPRV1,7
PCBP1.AS1,79
PCBP1,51
C2orf42,1
TIA1,180
PCYOX1,70
SNRPG,83
FAM136A,27
TGFA,41
ADD2,9
CD207,3
ATP6V1B1,19
TEX261,36
NAGK,128
MCEE,17
MPHOSPH10,16
PAIP2B,7
ZNF638,54
DYSF,2
CYP26B1,11
EXOC6B,11
SPR,10
SFXN5,25
RAB11FIP5,9
NOTO,1
SMYD5,7
PRADC1,45
CCT7,116
FBXO41,22
EGR4,2
ALMS1.IT1,1
TPRKB,22
DUSP11,1
STAMBP,24
ACTG2,122
DGUOK.AS1,11
DGUOK,2
TET3,42
BOLA3,9
BOLA3.AS1,4
MOB1A,30
MTHFD2,67
DCTN1,79
WDR54,1
RTKN,151
INO80B,0
WBP1,9
MOGS,27
MRPL53,30
CCDC142,3
TTC31,9
PCGF1,11
AUP1,208
HTRA2,10
LOXL3,6
DOK1,3
SEMA4F,8
RP11.259N19.1,44
HK2,54
AC104135.3,1
POLE4,9
TACR1,1
RP11.355F16.1,1
RP11.342K6.1,8
MRPL19,8
GCFC2,10
RP11.342K6.2,1
RN7SKP203,0
AC092660.1,5
LRRTM1,0
CTNNA2,4
SUCLG1,117
DNAH6,19
TRABD2A,0
TMSB10,360
KCMF1,17
TGOLN2,32
RETSAT,94
ELMOD3,15
CAPG,6
MAT2A,175
GGCX,18
VAMP8,174
VAMP5,45
RNF181,138
TMEM150A,7
C2orf68,21
USP39,13
ATOH8,3
ST3GAL5,41
POLR1A,13
PTCD3,114
IMMT,115
RP11.301O19.1,4
MRPL35,3
REEP1,1
SNORA19,1
KDM3A,85
RNF103,2
CHMP3,74
RMND5A,42
CD8A,1
RGPD1,9
PLGLB1,11
RP11.1399P15.1,1
LINC00152,1
PLGLB2,8
RGPD2,12
RNU2.63P,5
KRCC1,10
FABP1,3
THNSL2,93
EIF2AK3,4
RPIA,38
IGKC,9
IGKV2D.26,2
RP11.575H3.1,18
TEKT4,6
MAL,6
MRPS5,70
ZNF514,2
PROM2,258
KCNIP3,8
FAHD2A,42
LINC00342,29
GPAT2,6
ADRA2B,0
DUSP2,43
STARD7,28
TMEM127,10
CIAO1,11
SNRNP200,153
AC021188.4,1
ARID5A,2
KANSL3,117
LMAN2L,16
CNNM4,16
CNNM3,12
ANKRD23,32
ANKRD39,0
SEMA4C,30
FAM178B,2
FAHD2B,101
ANKRD36,30
AC159540.1,63
AC159540.2,5
COX5B,440
ACTR1B,34
AC017099.3,2
ZAP70,39
TMEM131,27
INPP4A,115
COA5,25
UNC50,96
MGAT4A,1
KIAA1211L,26
TSGA10,2
C2ORF15,1
LIPT1,0
MITD1,68
C2orf15,1
TXNDC9,2
EIF5B,41
REV1,15
AFF3,1
LONRF2,6
CHST10,4
PDCL3,6
NPAS2,109
RPL31,521
TBC1D8,13
CNOT11,22
RNF149,52
CREG2,15
MAP4K4,24
FLJ20373,15
IL1R2,60
IL1R1,39
SLC9A2,1
AC013402.2,1
AC018730.1,4
POU3F3,2
MRPS9,119
TGFBRAP1,9
C2orf49,53
FHL2,44
NCK2,27
UXS1,1
RGPD3,7
AC096669.2,1
RGPD4,2
SLC5A7,1
SULT1C2,12
SULT1C4,2
GCC2,14
LIMS1,14
RANBP2,107
SH3RF3,4
SEPT10,21
SOWAHC,11
RGPD5,36
AC013268.5,7
MALL,6
NPHP1,0
LINC00116,71
AC112229.7,17
LIMS3L,3
RGPD6,43
BUB1,4
AC114776.3,1
ACOXL,0
ANAPC1,12
RN7SL297P,1
MERTK,28
TMEM87B,33
FBLN7,1
ZC3H8,4
ZC3H6,14
RGPD8,21
TTL,79
POLR1B,30
CHCHD5,33
SLC20A1,43
IL1A,1
IL1B,3
IL1F10,0
IL1RN,2
PSD4,79
PAX8,10
AC016683.6,48
CBWD2,39
FOXD4L1,2
RP11.395L14.3,0
RP11.395L14.4,2
RABL2A,10
SLC35F5,23
ACTR3,101
ENSG00000238520,3
DPP10,1
DDX18,43
CCDC93,15
INSIG2,92
EN1,15
MARCO,7
C1QL2,10
STEAP3,3
C2orf76,0
DBI,433
PCDP1,1
TMEM177,4
PTPN4,3
EPB41L5,3
TMEM185B,2
RALB,85
INHBB,2
AC079988.3,1
TFCP2L1,201
CLASP1,26
AC018737.1,4
MKI67IP,16
TSN,19
GYPC,5
BIN1,25
CYP27C1,2
MAP3K2,137
IWS1,22
LIMS2,131
SFT2D3,6
WDR33,67
RP5.935K16.1,3
POLR2D,2
AMMECR1L,16
SAP130,92
UGGT1,21
HS6ST1,67
RAB6C,2
CCDC74B,3
SMPD4,80
MZT2B,153
CCDC115,2
IMP4,56
PTPN18,7
AMER3,2
ARHGEF4,89
FAM168B,46
PLEKHB2,52
POTEE,2
TUBA3D,0
MZT2A,116
CCDC74A,8
C2orf27A,36
ANKRD30BL,0
RNA5.8SP5,1
RP11.725P16.2,1
MGAT5,47
TMEM163,5
ACMSD,0
CCNT2,22
RAB3GAP1,52
R3HDM1,35
UBXN4,56
MCM6,2
DARS,113
CXCR4,5
THSD7B,9
HNMT,1
SPOPL,2
LRP1B,0
KYNU,0
AC016910.1,1
GTDC1,16
ZEB2,9
AC092484.1,1
ENSG00000238860,1
ACVR2A,110
ORC4,2
MBD5,1
EPC2,51
KIF5C,60
LYPD6B,2
MMADHC,45
RND3,6
RBM43,2
NMI,1
RIF1,16
NEB,2
ARL5A,18
CACNB4,11
STAM2,2
FMNL2,41
PRPF40A,117
ARL6IP6,4
RPRM,0
KCNJ3,3
GPD2,18
ERMN,1
CYTIP,4
ACVR1,2
UPP2,1
PKP4,59
DAPL1,23
TANC1,37
WDSUB1,42
BAZ2B,53
MARCH7,207
CD302,10
LY75,2
PLA2R1,209
ITGB6,2
RBMS1,12
TANK,46
AC009299.3,0
PSMD14,23
TBR1,6
SLC4A10,14
DPP4,2
FAP,2
FIGN,5
GRB14,56
COBLL1,32
SLC38A11,0
SCN3A,1
SCN2A,6
CSRNP3,7
GALNT3,8
TTC21B,4
SCN1A,2
SCN9A,24
SCN7A,1
B3GALT1,7
STK39,12
CERS6,4
NOSTRIN,29
DHRS9,46
LRP2,1
BBS5,21
FASTKD1,25
PPIG,47
CCDC173,1
PHOSPHO2,8
KLHL23,4
SSB,14
METTL5,6
UBR3,12
MYO3B,6
AC007405.6,1
ERICH2,4
GAD1,5
GORASP2,16
TLK1,5
METTL8,58
DCAF17,13
DYNC1I2,28
AC068039.4,2
SLC25A12,102
HAT1,8
METAP1D,13
DLX1,4
DLX2,0
ITGA6,78
PDK1,14
RAPGEF4,21
MLTK,18
CDCA7,1
SP3,4
RP11.394I13.2,56
OLA1,19
CIR1,9
SCRN3,12
GPR155,18
RNU6.5P,6
WIPF1,13
AC018890.6,3
CHRNA1,16
CHN1,27
ATF2,35
MIR933,5
ATP5G3,385
KIAA1715,26
HOXD13,1
HOXD9,15
HOXD8,18
MTX2,66
AC017048.3,7
HNRNPA3,193
NFE2L2,7
AC074286.1,4
AGPS,14
TTC30A,1
OSBPL6,7
AC009948.5,2
PRKRA,72
DFNB59,12
FKBP7,3
PLEKHA3,10
RP11.171I2.5,28
TTN.AS1,20
TTN,1
RP11.88L24.4,2
ZNF385B,1
CWC22,10
UBE2E3,38
NEUROD1,3
SSFA2,52
PPP1R1C,3
PDE1A,2
DNAJC10,70
NCKAP1,97
DUSP19,1
NUP35,39
RP11.438L19.1,1
FSIP2,0
ZC3H15,168
ITGAV,143
FAM171B,9
TFPI,2
GULP1,8
COL3A1,46
COL5A2,3
WDR75,32
SLC40A1,3
ASNSD1,1
ANKAR,1
OSGEPL1,1
ORMDL1,92
PMS1,50
MSTN,15
HIBCH,87
INPP1,4
MFSD6,14
AC093388.3,26
NAB1,79
GLS,153
STAT1,450
STAT4,2
MYO1B,12
NABP1,12
SDPR,7
TMEFF2,3
SLC39A10,5
DNAH7,1
STK17B,1
HECW2,3
GTF3C3,56
PGAP1,81
ANKRD44,85
SF3B1,186
COQ10B,24
HSPD1,191
HSPE1,230
MOB4,26
RFTN2,0
MARS2,36
PLCL1,1
C2orf69,17
TYW5,4
C2orf47,76
SPATS2L,117
KCTD18,1
SGOL2,1
AOX1,20
BZW1,72
RP11.469M7.1,2
RNU6.31P,1
CLK1,176
PPIL3,31
NIF3L1,1
ORC2,40
AC005037.3,1
FAM126B,9
NDUFB3,65
RP11.13J8.1,2
RNU7.45P,3
CFLAR,280
CASP10,0
CASP8,33
TRAK2,63
STRADB,3
ALS2CR11,1
TMEM237,46
ALS2,4
FZD7,16
SUMO1,22
NOP58,65
BMPR2,60
FAM117B,5
ICA1L,10
WDR12,170
CARF,44
NBEAL1,145
CYP20A1,1
ABI2,90
RAPH1,0
CTLA4,2
PARD3B,1
NRP2,4
INO80D,42
NDUFS1,155
EEF1B2,292
ZDBF2,4
ADAM23,1
AC010731.4,1
MDH1B,102
FASTKD2,8
AC008269.2,1
KLF7,3
CREB1,141
METTL21A,17
RP11.801F7.1,4
CCNYL1,3
FZD5,1
AC096772.6,32
PLEKHM3,1
C2orf80,5
IDH1,74
PIKFYVE,19
PTH2R,1
MAP2,92
UNC80,2
RPE,49
RP11.260M2.1,1
KANSL1L,1
LANCL1,112
CPS1,1
ERBB4,3
IKZF2,6
SPAG16,35
BARD1,1
ABCA12,54
ATIC,79
FN1,7
PECR,45
TMEM169,2
XRCC5,92
RP11.566E18.3,1
MARCH4,4
SMARCAL1,8
RPL37A,653
IGFBP2,6
IGFBP5,61
AC007563.1,4
TNS1,54
CXCR2,1
ARPC2,123
AAMP,108
TMBIM1,34
PNKD,40
SLC11A1,1
CTDSP1,86
USP37,6
RQCD1,8
RP11.548H3.1,1
ZNF142,70
BCS1L,160
RNF25,0
STK36,8
TTLL4,180
CYP27A1,128
RP11.459I19.1,1
WNT10A,21
CDK5R2,15
CNPPD1,14
FAM134A,155
ZFAND2B,115
ABCB6,4
ATG9A,106
ANKZF1,64
STK16,27
TUBA4A,85
DNAJB2,83
PTPRN,38
DNPEP,112
DES,52
SPEG,15
AC053503.11,1
GMPPA,173
ASIC4,3
CHPF,18
TMEM198,8
OBSL1,77
STK11IP,129
SLC4A3,25
EPHA4,12
RP11.384O8.1,2
SGPP2,81
FARSB,56
ENSG00000238852,2
MOGAT1,24
ACSL3,110
SCG2,1
AP1S3,1
WDFY1,5
MRPL44,7
SERPINE2,9
CUL3,106
DOCK10,29
IRS1,10
RHBDD1,9
COL4A3,5
MFF,14
AGFG1,72
SLC19A3,19
SPHKAP,15
DNER,4
TRIP12,76
FBXO36,7
SLC16A14,5
SP110,34
SP140L,69
SP100,54
CAB39,127
ITM2C,28
AC012507.3,1
C2orf72,17
RP11.223I10.1,1
PSMD1,26
ARMC9,1
AC017104.6,4
B3GNT7,2
SNORA75,1
SNORD20,1
NCL,187
PTMA,285
PDE6D,34
COPS7B,8
NPPC,1
DIS3L2,3
ECEL1,1
EIF4E2,91
EFHD1,2
GIGYF2,31
C2orf82,41
NGEF,8
INPP5D,12
ATG16L1,41
RP11.400N9.1,1
DGKD,14
USP40,15
HJURP,1
ARL4C,2
SH3BP4,55
AGAP1,25
IQCA1,2
ACKR3,20
AC105760.2,5
COPS8,26
COL6A3,9
MLPH,41
RAB17,32
AC104667.3,1
LRRFIP1,110
RAMP1,14
UBE2F,20
ILKAP,83
HES6,2
TRAF3IP1,39
ASB1,3
AC114788.2,1
HDAC4,92
NDUFA10,157
MYEOV2,253
GPC1,230
ANKMY1,2
DUSP28,1
RNPEPL1,190
CAPN10.AS1,87
CAPN10,57
KIF1A,40
C2orf54,23
AC104809.3,1
AC104809.4,1
SNED1,18
MTERFD2,18
PASK,9
PPP1R7,6
HDLBP,136
SEPT2,91
FARP2,83
STK25,264
BOK,152
THAP4,11
ATG4B,127
DTYMK,12
ING5,8
D2HGDH,157
AC114730.3,2
NEU4,1
CXXC11,21
CHL1,11
AC090044.1,1
AC087430.1,0
TRNT1,2
RP11.97C16.1,0
CRBN,9
LRRN1,1
SETMAR,23
SUMF1,75
ITPR1,53
BHLHE40,70
ARL8B,75
EDEM1,11
AC027119.1,3
GRM7,3
LMCD1,2
RAD18,59
SRGAP3,11
THUMPD3,8
SETD5.AS1,23
SETD5,51
RP11.58B17.2,2
MTMR14,45
CPNE9,1
BRPF1,7
CAMK1,22
OGG1,18
TADA3,6
ARPC4,200
RP11.266J6.2,1
TTLL3,155
RPUSD3,8
JAGN1,22
IL17RE,21
IL17RC,27
RP11.1020A11.1,2
CRELD1,135
PRRT3,8
EMC3,199
FANCD2,2
BRK1,36
VHL,7
TATDN2,14
LINC00852,8
GHRLOS,8
SEC13,58
ATP2B2,20
SLC6A11,3
SLC6A1,19
HRH1,16
ATG7,11
VGLL4,62
TAMM41,2
TIMP4,1
SYN2,27
PPARG,32
TSEN2,3
MKRN2,26
RAF1,88
TMEM40,59
CAND2,4
RPL32,497
IQSEC1,26
NUP210,2
HDAC11,52
FBLN2,79
TPRXL,5
CHCHD4,31
TMEM43,23
XPC,15
LSM3,11
SLC6A6,38
GRIP2,2
CCDC174,9
FGD5,5
FGD5.AS1,36
NR2C2,3
MRPS25,238
ZFYVE20,45
CAPN7,6
SH3BP5,11
SH3BP5.AS1,86
EAF1,4
EAF1.AS1,3
COLQ,6
HACL1,100
BTD,69
ANKRD28,25
RN7SL4P,16
GALNT15,1
DPH3,6
OXNAD1,15
RFTN1,7
PLCL2,1
TBC1D5,7
SATB1,63
KCNH8,4
RAB5A,94
KAT2B,23
SGOL1,0
RP11.180N14.1,2
ZNF385D,6
UBE2E2.AS1,4
UBE2E2,17
UBE2E1,37
NKIRAS1,3
RPL15,337
NR1D2,17
THRB,1
TOP2B,44
NGLY1,18
AC092798.1,1
OXSM,29
NEK10,3
SLC4A7,3
CMC1,9
AZI2,16
RBMS3,26
TGFBR2,21
STT3B,81
OSBPL10,36
GPD1L,8
CMTM8,44
CMTM7,10
CMTM6,22
DYNC1LI1,18
CNOT10,13
GLB1,16
TMPPE,9
CRTAP,35
UBP1,13
CLASP2,38
PDCD6IP,77
ARPP21,4
DCLK3,1
TRANK1,27
EPM2AIP1,3
MLH1,42
LRRFIP2,109
RP11.285J16.1,8
GOLGA4,58
C3orf35,1
ITGA9,1
AC093415.2,2
CTDSPL,183
VILL,37
PLCD1,1
ACAA1,348
MYD88,54
XYLB,1
ACVR2B,7
EXOG,32
WDR48,8
GORASP1,36
CSRNP1,91
CX3CR1,2
SLC25A38,10
RPSA,358
MOBP,9
EIF1B,13
ENTPD3.AS1,1
RPL14,231
RP11.391M1.4,1
ZNF619,8
ZNF620,7
ZNF621,2
CTNNB1,148
ULK4,136
TRAK1,31
CCK,17
VIPR1,179
SEC22C,16
SS18L2,33
NKTR,184
ZBTB47,64
CCDC13,5
HIGD1A,58
ACKR2,3
ZNF662,99
KRBOX1,4
FAM198A,3
POMGNT2,12
RP11.188P20.3,12
SNRK,10
ANO10,91
ABHD5,71
RP4.555D20.2,8
TCAIM,4
ZNF445,8
ZNF660,1
ZNF197,3
ZNF35,1
RP11.348P10.2,0
ZNF501,4
KIAA1143,11
TMEM42,22
ZDHHC3,192
EXOSC7,21
CLEC3B,8
CDCP1,58
TMEM158,5
LARS2,2
LIMD1,16
LIMD1.AS1,9
SACM1L,24
SLC6A20,0
LZTFL1,5
CCR9,1
CXCR6,4
FYCO1,12
CCR1,1
CCR2,1
LRRC2,2
ALS2CL,138
PRSS45,34
PTH1R,23
CCDC12,13
NBEAL2,66
SETD2,41
KIF9,2
KLHL18,32
RP11.708J19.1,10
PTPN23,35
SCAP,228
ELP6,91
CSPG5,4
SMARCC1,40
DHX30,148
MAP4,80
ZNF589,195
NME6,7
PLXNB1,178
CCDC51,20
TMA7,212
RP11.24C3.2,2
ATRIP,8
TREX1,199
SHISA5,89
PFKFB4,185
UCN2,6
COL7A1,403
UQCRC1,375
SLC26A6,96
CELSR3,2
NCKIPSD,103
IP6K2,94
PRKAR2A,48
SLC25A20,47
ARIH2,42
P4HTM,93
WDR6,93
DALRD3,69
NDUFAF3,15
IMPDH2,39
RP13.131K19.6,1
QRICH1,38
QARS,307
USP19,45
LAMB2,137
KLHDC8B,177
C3orf62,1
USP4,19
GPX1,180
RHOA,115
TCTA,35
AMT,2
NICN1,10
DAG1,14
BSN,19
APEH,189
MST1,3
RNF123,106
IP6K1,72
FAM212A,19
UBA7,101
TRAIP,5
CAMKV,66
MON1A,18
RBM6,80
RBM5,394
RP11.493K19.3,1
SEMA3F,23
SLC38A3,4
GNAI2,43
SEMA3B,58
IFRD2,69
NAT6,2
HYAL1,43
TUSC2,85
RASSF1,74
NPRL2,4
CYB561D2,46
TMEM115,28
XXcos.LUCA11.4,2
CACNA2D2,1
C3orf18,1
HEMK1,28
CISH,29
MAPKAPK3,23
DOCK3,12
MANF,160
RBM15B,8
VPRBP,50
RAD54L2,32
TEX264,40
GRM2,3
RRP9,60
PARP3,9
PCBP4,14
ABHD14B,76
ABHD14A,79
ACY1,29
RPL29,354
DUSP7,96
POC1A,2
ALAS1,96
TWF2,1
PPM1M,40
WDR82,54
DNAH1,85
BAP1,81
PHF7,2
SEMA3G,83
TNNC1,1
NISCH,306
STAB1,146
NT5DC2,31
SMIM4,94
PBRM1,35
GNL3,53
GLT8D1,43
SPCS1,48
ITIH4,22
TMEM110.MUSTN1,2
SFMBT1,26
RFT1,9
PRKCD,4
TKT,231
DCP1A,5
CACNA1D,16
RP11.884K10.7,46
ACTR8,50
SELK,53
CACNA2D3,4
WNT5A,3
ERC2,9
CCDC66,8
FAM208A,16
ARHGEF3,14
IL17RD,3
APPL1,46
DNAH12,1
PDE12,8
ARF4,57
DENND6A,30
SLMAP,151
FLNB,204
DNASE1L3,38
ABHD6,23
RPP14,49
RP11.80H18.4,1
PXK,9
RP11.802O23.3,1
PDHB,92
KCTD6,54
ACOX2,121
FAM107A,81
NPCDR1,2
FHIT,16
PTPRG,4
FEZF2,3
CADPS,20
SYNPR,17
THOC7,48
ATXN7,4
RP11.245J9.5,1
PSMD6,34
PRICKLE2,89
ADAMTS9,3
MAGI1,56
SLC25A26,67
LRIG1,59
SUCLG2,46
EOGT,1
TMF1,102
CTD.2013N24.2,1
UBA3,93
ARL6IP5,64
FRMD4B,25
FOXP1,21
EIF4E3,16
GPR27,4
LINC00877,0
RYBP,26
SHQ1,15
EBLN2,0
PPP4R2,48
PDZRN3,6
CNTN3,1
ROBO2,0
ROBO1,9
GBE1,38
CADM2,7
VGLL3,2
CHMP2B,16
CGGBP1,116
ZNF654,4
C3orf38,4
STX19,3
DHFRL1,1
MTRNR2L12,244
RP11.389G6.3,2
ARL6,14
CRYBG3,2
MINA,68
OR5K1,0
CLDND1,50
CPOX,75
ST3GAL6,71
DCBLD2,2
LINC00973,1
COL8A1,1
CMSS1,12
TBC1D23,13
NIT2,81
TOMM70A,59
TMEM45A,338
TFG,15
ABI3BP,3
RNU6.865P,3
SENP7,0
TRMT10C,38
PCNP,78
ZBTB11,18
Y_RNA,1
RPL24,232
CEP97,0
NXPE3,6
NFKBIZ,45
ALCAM,175
CBLB,2
LINC00882,1
LINC00883,6
RP11.446H18.6,1
BBX,14
CD47,116
IFT57,2
HHLA2,3
MYH15,2
DZIP3,6
TRAT1,20
PHLDB2,28
ABHD10,1
TAGLN3,2
C3orf52,2
RP11.757F18.5,31
CD200,2
ATG3,31
SLC35A5,5
RP11.572C15.6,65
CCDC80,47
GTPBP8,7
C3orf17,16
BOC,174
WDR52,34
SPICE1,8
SIDT1,5
KIAA2018,9
NAA50,95
ATP6V1A,50
GRAMD1C,19
ZDHHC23,21
QTRTD1,19
RP11.553L6.5,7
ZBTB20,3
ZBTB20.AS1,1
GAP43,7
LSAMP,45
TUSC7,0
IGSF11,3
UPK1B,4
B4GALT4,1
ARHGAP31,3
TMEM39A,9
POGLUT1,11
TIMMDC1,76
PLA1A,6
POPDC2,27
COX17,18
GSK3B,55
LRRC58,25
FSTL1,35
NDUFB4,110
HGD,16
RABL3,3
STXBP5L,8
GOLGB1,69
IQCB1,17
EAF2,1
SLC15A2,16
ILDR1,63
CSTA,20
CCDC58,25
FAM162A,85
RP11.299J3.8,1
KPNA1,7
PARP9,110
DTX3L,39
PARP14,303
HSPBAP1,2
DIRC2,1
RP11.67L2.2,44
SEMA5B,9
PDIA5,59
RP11.797D24.3,2
ADCY5,5
PTPLB,130
MYLK,309
CCDC14,72
KALRN,17
UMPS,23
ITGB5,148
HEG1,5
SLC12A8,43
ZNF148,7
SNX4,79
OSBPL11,30
ALG1L,1
SLC41A3,15
ALDH1L1,128
KLF15,37
ZXDC,69
UROC1,0
CHST13,3
TXNRD3,2
CHCHD6,61
PLXNA1,26
TPRA1,3
PODXL2,16
ABTB1,61
MGLL,48
KBTBD12,3
SEC61A1,108
RUVBL1,1
EEFSEC,11
GATA2,1
RPN1,82
RAB7A,140
ACAD9,71
KIAA1257,1
EFCC1,73
ISY1,2
CNBP,214
COPG1,19
HMCES,69
H1FX,136
H1FX.AS1,1
MBD4,53
IFT122,12
RHO,3
PLXND1,96
TMCC1,5
PIK3R4,6
ATP2C1,68
ASTE1,2
NEK11,0
NUDT16,11
MRPL3,44
CPNE4,14
ACPP,1
DNAJC13,33
ACAD11,6
UBA5,112
NPHP3,10
RP11.402L6.1,38
RP11.91K8.5,4
CDV3,146
TOPBP1,75
TF,197
SRPRB,104
RAB6B,33
SLCO2A1,99
RYK,3
AMOTL2,17
ANAPC13,6
CEP63,5
PPP2R3A,1
MSL2,5
PCCB,31
RP11.731C17.2,16
SLC35G2,0
NCK1,5
IL20RB.AS1,1
IL20RB,44
DBR1,15
ARMC8,39
NME9,1
MRAS,7
ESYT3,35
CEP70,36
FAIM,27
PIK3CB,36
FOXL2,1
MRPS22,36
COPB2,7
RBP1,5
RP11.319G6.1,1
NMNAT3,2
CLSTN2,25
SLC25A36,17
ACPL2,2
ZBTB38,3
RASA2.IT1,1
RASA2,41
RP11.340E6.1,1
RNF7,24
AC112504.1,1
ATP1B3,125
RP11.271K21.11,0
TFDP2,57
RP11.485G4.2,110
GK5,132
XRN1,88
ATR,101
TRPC1,2
PAQR9,1
U2SURP,37
CHST2,25
SLC9A9,1
C3orf58,11
PLOD2,6
PLSCR4,26
PLSCR1,16
ZIC4,9
ZIC1,1
GYG1,40
HLTF,16
HPS3,23
CP,1
TM4SF1,112
WWTR1,86
COMMD2,112
RNF13,11
PFN2,86
TSC22D2,1
SERP1,60
EIF2A,32
SELT,35
SIAH2,17
GPR87,56
P2RY13,1
MED12L,1
AADACL2,1
SUCNR1,1
MBNL1.AS1,3
MBNL1,91
P2RY1,1
RP11.38P22.2,65
RAP2B,1
RN7SL300P,1
RP11.23D24.2,1
RP11.217E22.5,1
ARHGEF26.AS1,3
ARHGEF26,14
DHX36,3
RP11.451G4.2,1
PLCH1,23
C3orf33,1
SLC33A1,61
GMPS,67
RP11.305K5.1,2
KCNAB1,17
SSR3,49
TIPARP,7
CCNL1,168
PTX3,1
RSRC1,4
GFM1,75
RP11.379F4.7,14
RARRES1,23
RP11.379F4.4,74
RP11.379F4.8,1
MFSD1,8
IQCJ.SCHIP1,1
C3orf80,4
IFT80,1
SMC4,4
KPNA4,72
PPM1L,40
B3GALNT1,3
NMD3,9
SPTSSB,14
RP11.3P17.5,2
SLITRK3,0
BCHE,1
ZBBX,1
PDCD10,3
SERPINI1,15
RP11.298O21.5,1
GOLIM4,32
RP11.362K14.5,0
MYNN,1
LRRC34,2
SEC62,65
PHC3,22
PRKCI,5
SLC7A14,7
CLDN11,4
