gene,detected_spots
RNF19B,1
AK2,286
TRIM62,13
ZNF362,2
RP11.415J8.3,1
PHC2,26
CSMD2,6
GJB5,1
GJB4,28
AL121988.1,1
GJB3,2
SMIM12,86
DLGAP3,12
RP11.244H3.1,2
ZMYM6,2
SFPQ,239
RN7SL503P,1
ZMYM4,59
KIAA0319L,33
NCDN,295
PSMB2,86
C1orf216,77
AGO4,17
AGO1,36
AGO3,69
ADPRHL2,94
COL8A2,48
TRAPPC3,119
MAP7D1,106
THRAP3,137
SH3D21,94
RP11.268J15.5,80
STK40,95
LSM10,16
OSCP1,17
MRPS15,89
RP11.422J8.1,49
ZC3H12A,13
MEAF6,12
SNIP1,18
DNALI1,2
GNL2,19
RSPO1,2
MANEAL,6
YRDC,3
C1orf122,235
MTF1,2
INPP5B,114
SF3A3,124
RNU6.510P,1
FHL3,7
UTP11L,3
POU3F1,0
RRAGC,15
MYCBP,14
RHBDL2,1
AKIRIN1,3
NDUFS5,287
MACF1,190
RP11.69E11.4,63
PABPC4,32
HEYL,1
HPCAL4,41
PPIE,95
BMP8B,2
TRIT1,1
MFSD2A,8
CAP1,112
PPT1,12
RLF,51
ZMPSTE24,17
COL9A2,64
SMAP2,14
ZFP69B,0
EXO5,5
RIMS3,1
NFYC,92
KCNQ4,9
CITED4,13
CTPS1,19
SCMH1,60
RP11.399E6.1,1
FOXO6,1
HIVEP3,4
FOXJ3,60
ZMYND12,10
PPCS,138
CCDC30,1
PPIH,11
YBX1,42
LEPRE1,41
C1orf50,13
CCDC23,2
ERMAP,60
ZNF691,3
SLC2A1,121
FAM183A,14
EBNA1BP2,106
TMEM125,5
C1orf210,9
TIE1,3
RP1.92O14.3,3
ELOVL1,220
MED8,24
SZT2,12
HYI,35
PTPRF,142
KDM4A,7
ST3GAL3,10
IPO13,5
DPH2,5
ATP6V0B,198
B4GALT2,40
CCDC24,4
SLC6A9,93
DMAP1,22
ERI3,63
RNF220,50
TMEM53,36
RNU5F.1,17
C1orf228,21
KIF2C,1
RPS8,744
PLK3,9
BTBD19,64
PTCH2,44
EIF2B3,40
HECTD3,14
UROD,118
TOE1,50
TESK2,1
MMACHC,5
PRDX1,140
AKR1A1,459
NASP,47
GPBP1L1,93
RP11.767N6.7,2
IPP,1
MAST2,41
PIK3R3,41
POMGNT1,201
LRRC41,25
UQCRH,248
NSUN4,80
FAAH,59
DMBX1,4
MKNK1,62
MOB3C,6
ATPAF1,17
EFCAB14,39
CYP4B1,138
CYP4X1,5
PDZK1IP1,11
TAL1,5
STIL,4
CMPK1,91
TRABD2B,1
SLC5A9,13
BEND5,1
ELAVL4,2
DMRTA2,4
RP5.850O15.4,2
FAF1,3
CDKN2C,52
RNF11,41
TTC39A,1
EPS15,90
OSBPL9,10
NRD1,110
RAB3B,7
TXNDC12,2
BTF3L4,44
ZFYVE9,3
CC2D1B,22
PRPF38A,12
ZCCHC11,10
SELRC1,2
ZYG11B,51
ECHDC2,243
SCP2,75
PODN,2
CPT2,87
C1orf123,3
MAGOH,3
RP5.1024G6.8,4
LRP8,6
GLIS1,1
NDC1,24
YIPF1,35
HSPB11,24
LRRC42,14
RP4.758J24.5,59
TMEM59,63
TCEANC2,1
CYB5RL,17
MRPL37,70
SSBP3,11
AC099796.1,0
ACOT11,28
MROH7,14
TTC4,2
TTC22,79
DHCR24,880
TMEM61,59
USP24,12
PPAP2B,38
DAB1,4
OMA1,17
TACSTD2,220
MYSM1,24
JUN,49
RP4.794H19.1,0
RP4.794H19.2,2
RP4.794H19.4,3
FGGY,54
HOOK1,42
C1orf87,1
NFIA,145
TM2D1,13
RN7SL180P,1
INADL,27
USP1,15
DOCK7,6
ATG4C,2
RP4.792G4.2,1
ALG6,99
EFCAB7,4
ITGB3BP,1
PGM1,99
CACHD1,6
RAVER2,4
JAK1,29
MIR3671,2
AK4,9
DNAJC6,13
LEPROT,87
LEPR,1
PDE4B,8
SGIP1,8
WDR78,5
SLC35D1,8
SERBP1,226
GADD45A,6
GNG12,14
DIRAS3,59
WLS,40
LRRC7,6
LRRC40,0
SRSF11,163
ANKRD13C,4
HHLA3,1
RP11.42O15.3,1
ZRANB2,192
NEGR1,10
FPGT,5
RP11.439H8.4,2
TNNI3K,1
C1orf173,6
CRYZ,5
LHX8,1
SLC44A5,77
ACADM,270
RABGGTB,37
ST6GALNAC5,1
PIGK,7
AK5,11
ZZZ3,50
USP33,196
FAM73A,18
NEXN,5
FUBP1,110
DNAJB4,3
PTGFR,69
IFI44L,58
IFI44,159
ELTD1,33
RP11.339D23.1,1
RP11.115A15.1,0
LPHN2,45
RP11.147G16.1,4
TTLL7,63
